"delta_00","avg_n_c","avg_n_e","error_pet","pet_slope","se_pet_slope","p_pet_slope","ci_lb_pet_slope","ci_ub_pet_slope","pet_int","se_pet_int","p_pet_int","ci_lb_pet_int","ci_ub_pet_int","error_peese","peese_slope","se_peese_slope","p_peese_slope","ci_lb_peese_slope","ci_ub_peese_slope","peese_int","se_peese_int","p_peese_int","ci_lb_peese_int","ci_ub_peese_int","error_pet_st","pet_st_slope","se_pet_st_slope","p_pet_st_slope","ci_lb_pet_st_slope","ci_ub_pet_st_slope","pet_st_int","se_pet_st_int","p_pet_st_int","ci_lb_pet_st_int","ci_ub_pet_st_int","error_peese_st","peese_st_slope","se_peese_st_slope","p_peese_st_slope","ci_lb_peese_st_slope","ci_ub_peese_st_slope","peese_st_int","se_peese_st_int","p_peese_st_int","ci_lb_peese_st_int","ci_ub_peese_st_int","corrected_smd","corrected_smd_se","corrected_smd_pval","corrected_smd_95_ci_lb","corrected_smd_95_ci_ub","corrected_st_smd","corrected_st_smd_se","corrected_st_smd_pval","corrected_st_smd_95_ci_lb","corrected_st_smd_95_ci_ub"
0,119,118.5,0,-1.20019879549862,2.41427847690375,0.632473411763575,-6.76753494677309,4.36713735577584,0.0990103573851729,0.367066915697218,0.794192128809559,-0.747447468109251,0.945468182879597,0,-5.90416301626846,7.97072892197418,0.480030720954811,-24.2846968709324,12.4763708383954,0.0601942015941626,0.209797703599835,0.781467959954458,-0.423600170463395,0.54398857365172,0,-1.16570150267603,2.4240814840801,0.643475229190289,-6.75564342903658,4.42424042368452,0.0467321109911455,0.184359508356898,0.806287226836493,-0.378401677644069,0.47186589962636,0,-11.592952496099,16.0297037399385,0.490148593883374,-48.5575156064948,25.3716106142968,0.0286266689374018,0.105566610761576,0.793124752286092,-0.214810372018282,0.272063709893086,0.0990103573851729,0.367066915697218,0.794192128809559,-0.747447468109251,0.945468182879597,0.0467321109911455,0.184359508356898,0.806287226836493,-0.378401677644069,0.47186589962636
0,97,96.5555555555556,0,-1.38410795937991,2.62428482189442,0.614197633585451,-7.5895554923183,4.82133957355848,0.18029958073518,0.449815931167688,0.700498145479471,-0.883346078856727,1.24394524032709,0,-6.31083958364577,7.41870667150352,0.423095305293523,-23.8532932945362,11.2316141272446,0.139298537936671,0.254338277276607,0.600923805606261,-0.462115920619925,0.740712996493266,0,-1.27481141586175,2.66381154691369,0.646833168952452,-7.57372480136676,5.02410196964326,0.0806417650225968,0.228109198799073,0.734104373136104,-0.45875077846909,0.620034308514284,0,-11.9879585066057,15.291270532296,0.458757114269067,-48.1460676449389,24.1701506317274,0.0643205903691464,0.130297803799068,0.636668382111999,-0.243784756423409,0.372425937161702,0.18029958073518,0.449815931167688,0.700498145479471,-0.883346078856727,1.24394524032709,0.0806417650225968,0.228109198799073,0.734104373136104,-0.45875077846909,0.620034308514284
0,79.1111111111111,78.3333333333333,0,3.68058750233751,3.71826407056918,0.355213307960087,-5.11170989275648,12.4728848974315,-0.550126490612835,0.653155603098158,0.427478545568036,-2.09459406976245,0.994341088536781,0,9.78387746697518,10.6121211303281,0.387225386441058,-15.309801518639,34.8775564525893,-0.221585331661301,0.358709697036765,0.556308658021204,-1.06979898055594,0.626628317233334,0,3.68975651843893,3.6665628719379,0.347770576051099,-4.9802869685351,12.359800005413,-0.274701884774455,0.321548488344713,0.421205473937392,-1.03504323837736,0.485639468828453,0,19.5348387466289,20.9095951465383,0.381272049956899,-29.9084970278623,68.9781745211201,-0.109685806886497,0.17674849975195,0.554537700987946,-0.527629595832599,0.308257982059605,-0.550126490612835,0.653155603098158,0.427478545568036,-2.09459406976245,0.994341088536781,-0.274701884774455,0.321548488344713,0.421205473937392,-1.03504323837736,0.485639468828453
0,83.3333333333333,83.1666666666667,0,-3.79533676244208,4.16130305346101,0.413335851435933,-15.3489662564685,7.75829273158437,0.602108679710698,0.690890883561786,0.432667568010744,-1.3161119321802,2.5203292916016,0,-11.1503396727536,10.8063327936518,0.360450492611111,-41.1535294628264,18.8528501173193,0.294342877495594,0.331521565741008,0.424782889701381,-0.626108550973536,1.21479430596473,0,-3.87662297479832,4.23543246610283,0.411828092222983,-15.6360687137054,7.88282276410872,0.307283110696055,0.351390273575845,0.431221353940905,-0.668332694387714,1.28289891577982,0,-22.816440065437,22.0704285811723,0.359633292264659,-84.0937734692503,38.4608933383763,0.150198628773729,0.168636966845678,0.42344131316614,-0.318012652380357,0.618409909927815,0.602108679710698,0.690890883561786,0.432667568010744,-1.3161119321802,2.5203292916016,0.307283110696055,0.351390273575845,0.431221353940905,-0.668332694387714,1.28289891577982
0,109.166666666667,108.5,0,1.57157267826608,4.12049044423419,0.722297324455061,-9.86874284664223,13.0118882031744,-0.180349659064612,0.605790192332692,0.780746842126375,-1.86229287334354,1.50159355521432,0,5.48137432302728,13.4827609534836,0.705152738158285,-31.9527713308243,42.9155199768789,-0.073529183288881,0.320661633888496,0.829879820817736,-0.963828607123324,0.816770240545562,0,1.57492234564251,4.15009287636611,0.723610357836224,-9.94758270706042,13.0974273983454,-0.090328346142038,0.305172036738851,0.781967177640284,-0.937621753788861,0.756965061504785,0,11.0163083182036,27.1193387248502,0.705377046938282,-64.2790469406078,86.3116635770151,-0.0369555726609569,0.161312432545802,0.830033311763824,-0.484830686410298,0.410919541088384,-0.180349659064612,0.605790192332692,0.780746842126375,-1.86229287334354,1.50159355521432,-0.090328346142038,0.305172036738851,0.781967177640284,-0.937621753788861,0.756965061504785
0,97.2727272727273,96.9090909090909,0,-0.279979411156885,2.74837306634917,0.921092640664842,-6.49723122924033,5.93727240692656,-0.0227856580838632,0.435453591333211,0.959411747694657,-1.00785011878449,0.962278802616762,0,-1.43685112762733,7.17373936272058,0.845704101688951,-17.6649770110531,14.7912747557985,-0.0296050586523485,0.211560439810473,0.891791678122295,-0.508188022934349,0.448977905629652,0,-0.414261822447681,2.71741534442399,0.882197297494426,-6.56148240813417,5.7329587632388,-0.00116182501611228,0.215357187706011,0.995813223238911,-0.488333629745343,0.486009979713119,0,-3.56835476245189,14.0222693224715,0.804845637317671,-35.2889317489664,28.1522222240626,-0.0104567216464443,0.104214490963141,0.922275237855527,-0.246206278846082,0.225292835553194,-0.0227856580838632,0.435453591333211,0.959411747694657,-1.00785011878449,0.962278802616762,-0.00116182501611228,0.215357187706011,0.995813223238911,-0.488333629745343,0.486009979713119
0,98.3636363636364,97.8181818181818,0,-2.34880037343731,4.91770513551057,0.644305969669344,-13.4734222702621,8.77582152338744,0.307919154741632,0.739046373149084,0.68670010011748,-1.3639198919176,1.97975820140087,0,-7.2408930924304,16.318038108717,0.667710021478883,-44.1548598828787,29.6730736980179,0.122928563564753,0.386755580165858,0.757852915722374,-0.751973342359619,0.997830469489125,0,-2.21230705702413,5.01849397664098,0.669734453604592,-13.5649291527422,9.14031503869391,0.143326029901144,0.376003545841137,0.711910281651857,-0.707253084560906,0.993905144363194,0,-13.6586576627885,33.4203004283133,0.692318170568668,-89.2606296595653,61.9433143339883,0.0562893176549495,0.196649149337117,0.781172144077803,-0.388561964076184,0.501140599386083,0.307919154741632,0.739046373149084,0.68670010011748,-1.3639198919176,1.97975820140087,0.143326029901144,0.376003545841137,0.711910281651857,-0.707253084560906,0.993905144363194
0,99.2222222222222,98.6666666666667,0,-0.0208493874506458,3.78994131355445,0.995764161505925,-8.98263652959492,8.94093775469363,-0.250785001772431,0.577390365565731,0.677113757452687,-1.61609626282518,1.11452625928032,0,-0.306326155971545,12.9982796294839,0.981855987076734,-31.0423733968336,30.4297210848905,-0.246797461369852,0.319842782930228,0.465584420323773,-1.0031054625836,0.509510539843893,0,0.315188838532237,3.76829835841101,0.93568261459076,-8.59542084700373,9.2257985240682,-0.150928587917125,0.286298219912279,0.614362541359408,-0.827916301909543,0.526059126075293,0,1.82285185470824,25.859754935703,0.945775287419252,-59.3257518065012,62.9714555159177,-0.137920631243941,0.158441461939976,0.412890020670492,-0.512575154605023,0.236733892117142,-0.250785001772431,0.577390365565731,0.677113757452687,-1.61609626282518,1.11452625928032,-0.150928587917125,0.286298219912279,0.614362541359408,-0.827916301909543,0.526059126075293
0,60.8571428571429,60.7142857142857,0,7.46507662905448,2.0318908428322,0.0143839133293686,2.24193493647426,12.6882183216347,-1.53599408936856,0.419570267190694,0.0145815816248465,-2.61453379698204,-0.45745438175509,0,14.7227443645491,4.22577084363107,0.0175824446025125,3.86005459234954,25.5854341367487,-0.701187017760623,0.228881617622001,0.0279890384972747,-1.2895459465308,-0.112828088990451,0,7.86286130268837,2.08619833563254,0.0130364398690973,2.50011775557665,13.2256048498001,-0.797432150630101,0.21280481404104,0.0133315052586189,-1.34446434013996,-0.250399961120241,0,31.9112770787647,8.92071672326132,0.0159217606391115,8.97984470909202,54.8427094484373,-0.366385907055911,0.116158364437388,0.0252595134654226,-0.664980488735884,-0.0677913253759378,-1.53599408936856,0.419570267190694,0.0145815816248465,-2.61453379698204,-0.45745438175509,-0.797432150630101,0.21280481404104,0.0133315052586189,-1.34446434013996,-0.250399961120241
0,93.6,93.1,0,-3.98762699883565,3.19888533365292,0.247817674933035,-11.3642698062833,3.38901580861195,0.488266325115772,0.529832435617553,0.383713355631156,-0.7335294623836,1.71006211261514,0,-10.4420409950774,9.37982391694512,0.297931518176948,-32.0719537350398,11.187871744885,0.136012193482169,0.291790018647469,0.653550896176789,-0.536856796130194,0.808881183094532,0,-3.7429461138676,3.1715548339393,0.271835403272142,-11.0565646759584,3.57067244822318,0.222716455698888,0.261982710126961,0.419972156017059,-0.381416757205878,0.826849668603654,0,-19.0345946654379,18.5257456179895,0.334261400812629,-61.7550406682622,23.6858513373864,0.0540032324555598,0.144251603096936,0.717858688278803,-0.278641560795806,0.386648025706925,0.488266325115772,0.529832435617553,0.383713355631156,-0.7335294623836,1.71006211261514,0.222716455698888,0.261982710126961,0.419972156017059,-0.381416757205878,0.826849668603654
