"index","bt","k","d","su","sv","p","id","pet_int_avg","pet_slope_avg","pet_st_int_avg","pet_st_slope_avg","pet_st_conv_int_avg","pet_st_conv_slope_avg","peese_int_avg","peese_slope_avg","peese_st_int_avg","peese_st_slope_avg","peese_st_conv_int_avg","peese_st_conv_slope_avg","pet_int_max","pet_slope_max","pet_st_int_max","pet_st_slope_max","pet_st_conv_int_max","pet_st_conv_slope_max","peese_int_max","peese_slope_max","peese_st_int_max","peese_st_slope_max","peese_st_conv_int_max","peese_st_conv_slope_max","abs_pet_int_avg","abs_pet_slope_avg","abs_pet_st_int_avg","abs_pet_st_slope_avg","abs_pet_st_conv_int_avg","abs_pet_st_conv_slope_avg","abs_peese_int_avg","abs_peese_slope_avg","abs_peese_st_int_avg","abs_peese_st_slope_avg","abs_peese_st_conv_int_avg","abs_peese_st_conv_slope_avg","abs_pet_int_max","abs_pet_slope_max","abs_pet_st_int_max","abs_pet_st_slope_max","abs_pet_st_conv_int_max","abs_pet_st_conv_slope_max","abs_peese_int_max","abs_peese_slope_max","abs_peese_st_int_max","abs_peese_st_slope_max","abs_peese_st_conv_int_max","abs_peese_st_conv_slope_max"
934,"pb_no_orb_mod",70,0.5,0.06,0.11,"small","pb_no_orb_mod_k_70_d0.50_su0.06_sv0.11_small",0.0857479467890572,1.54275547737063,0.248652065049491,0.326430141131047,0.49990214274316,0.658714836075744,0.335166074551396,2.28602572062777,0.275025323215784,0.965255857962327,0.553559501826018,2.08406577236493,0.809151163516873,4.6338826511941,0.595694216238164,2.54634086081325,1.22701080483415,8.32695738546863,0.688928937050836,6.72869919036125,0.475247206048813,7.5225304774582,0.968547151563179,288.832085025873,0.204038608678993,1.55094259460427,0.250287690507687,0.597890415786812,0.503224633929949,1.23180044778896,0.336074218968086,2.29857181365476,0.275025323215784,1.77653990148518,0.553559501826018,4.56442302287445,0.998554964825696,4.6338826511941,0.595694216238164,2.54634086081325,1.22701080483415,8.32695738546863,0.688928937050836,6.72869919036125,0.475247206048813,7.5225304774582,0.968547151563179,288.832085025873
935,"pb_no_orb_mod",70,0.5,0.06,0.11,"medium","pb_no_orb_mod_k_70_d0.50_su0.06_sv0.11_medium",0.169637898386748,1.84775664226974,0.239272295423088,0.397550432900394,0.480835887879305,0.805622464498309,0.368588148732621,4.07724987659735,0.260498895341752,1.76814831583162,0.523954384124573,4.53239828259517,0.738680622431827,4.82778727021668,0.54476343076811,3.295577193328,1.11668355854752,14.4025239036488,0.670106709244048,11.0229252700194,0.411320056327847,14.1715028761039,0.834295947985228,31804.071871626,0.209323539898069,1.86229998861843,0.23949441069156,0.771745418174966,0.481286502328742,1.6212636554024,0.368588148732621,4.11577425000917,0.260498895341752,3.46786968253085,0.523954384124573,16.3021304230375,0.738680622431827,4.82778727021668,0.54476343076811,3.295577193328,1.11668355854752,14.4025239036488,0.670106709244048,11.0229252700194,0.411320056327847,14.1715028761039,0.834295947985228,31804.071871626
936,"pb_no_orb_mod",70,0.5,0.06,0.11,"large","pb_no_orb_mod_k_70_d0.50_su0.06_sv0.11_large",0.202591099925208,2.06182692339537,0.244291755402564,0.354186841508414,0.491018933220694,0.715805169585903,0.381442473592178,5.62290840288232,0.259405533053324,1.96018438068273,0.521727342240049,5.30191165987551,0.807717017621236,5.77471527830229,0.496141095426888,3.61210793206842,1.01276656310083,18.0773334504971,0.674276424887195,17.357339802882,0.389344657035712,23.5144808618815,0.788566566441701,23530934.4494279,0.22419860027367,2.08067875671614,0.244330539495886,0.819383378884332,0.491097662075732,1.73201252421114,0.381442473592178,5.68959875603596,0.259405533053324,4.58540449137019,0.521727342240049,36.1407301272487,0.807717017621236,5.77471527830229,0.496141095426888,3.61210793206842,1.01276656310083,18.0773334504971,0.674276424887195,17.357339802882,0.389344657035712,23.5144808618815,0.788566566441701,23530934.4494279
937,"pb_no_orb_mod",70,0.5,0.11,0.01,"small","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.01_small",0.045406614428936,1.60688699716312,0.227485153455741,0.393068424441119,0.456963749325743,0.796348009034339,0.306105878486413,2.37326844744454,0.259495625342586,1.15270890082504,0.52194144210062,2.56946995015727,0.83261290895726,4.19750859510723,0.683298608814027,2.67904643463745,1.42048271688259,9.19008146051453,0.756405421329656,6.22418173245308,0.496710723405871,8.16812585994913,1.01403671887767,455.941410860987,0.189660130467661,1.61583309937201,0.230374184484706,0.646266124313921,0.462818052941114,1.33807540655745,0.307166437108912,2.38885223974751,0.259495625342586,1.91352581978852,0.52194144210062,5.1068050022624,0.872653827668092,4.19750859510723,0.683298608814027,2.67904643463745,1.42048271688259,9.19008146051453,0.756405421329656,6.22418173245308,0.496710723405871,8.16812585994913,1.01403671887767,455.941410860987
938,"pb_no_orb_mod",70,0.5,0.11,0.01,"medium","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.01_medium",0.108189512320074,2.01910456444292,0.229071977420579,0.377811598157712,0.46015467090518,0.764651375178934,0.32737975964864,4.41805538531072,0.249047172531942,1.69786168701002,0.500677958381167,4.27236242189975,0.747528855123235,6.19481210837358,0.56149778074482,2.8773424682974,1.15274558177096,10.6326874488203,0.64989568701301,15.709300485146,0.429478967996495,13.2568154250022,0.872230918146692,16656.7010774309,0.181603713099176,2.02860352597687,0.229271349874884,0.765658462817002,0.460558666893577,1.60724644133146,0.327664598888586,4.44341764847726,0.249047172531942,3.4253660334675,0.500677958381167,15.8121442934437,0.747528855123235,6.19481210837358,0.56149778074482,2.8773424682974,1.15274558177096,10.6326874488203,0.64989568701301,15.709300485146,0.429478967996495,13.2568154250022,0.872230918146692,16656.7010774309
939,"pb_no_orb_mod",70,0.5,0.11,0.01,"large","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.01_large",0.136085829039781,2.31468475955807,0.2339488651506,0.339071626457278,0.470036616986271,0.684661844907253,0.338574328108066,6.25754681602903,0.24828319873834,1.89548875948326,0.499123212509894,5.03246394752613,0.732589075823539,6.64969116647749,0.504903518862701,3.59145823296638,1.03140060304224,17.8120825797336,0.649165519870873,18.1099294488067,0.38754434091344,18.8418415372175,0.784829231959254,864383.237859481,0.186417398329334,2.32888715061242,0.234156194754146,0.842013433071873,0.470456969667905,1.7853085438314,0.33866163934263,6.31360219846228,0.24828319873834,4.67313437050833,0.499123212509894,38.4605579667492,0.732589075823539,6.64969116647749,0.504903518862701,3.59145823296638,1.03140060304224,17.8120825797336,0.649165519870873,18.1099294488067,0.38754434091344,19.3888879623758,0.784829231959254,1272624.35633711
940,"pb_no_orb_mod",70,0.5,0.11,0.06,"small","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.06_small",-0.0345792136627356,1.86208028138729,0.236674759611369,0.357990969631555,0.47559235031038,0.723698941522087,0.270717556631525,2.72145756553704,0.265798003861337,1.05036786278973,0.5347651847547,2.29941967030834,0.70860063369466,5.10748804530714,0.676857546578563,2.81276054433405,1.40608164852277,10.1416995127799,0.688280169709463,7.35827767870517,0.491868892017203,7.84417548275249,1.00375517196217,362.596815311109,0.204593373934837,1.86505086917456,0.240444001425838,0.655689984461757,0.483238830883963,1.35895718442764,0.274889892982749,2.72808800932055,0.265798003861337,1.93722877241795,0.5347651847547,5.20537380377331,1.17126923641333,5.10748804530714,0.676857546578563,2.81276054433405,1.40608164852277,10.1416995127799,0.688280169709463,7.35827767870517,0.491868892017203,7.84417548275249,1.00375517196217,362.596815311109
941,"pb_no_orb_mod",70,0.5,0.11,0.06,"medium","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.06_medium",0.0629803341025967,2.27838855891254,0.233531335792962,0.385358597807212,0.469193053356108,0.780298367484382,0.310810754465006,4.97568686312119,0.254076097028346,1.7174378222646,0.510895476433489,4.3436998181109,0.700212412764659,5.87401211146247,0.59061006097753,3.22804200453165,1.2158693784215,13.7177589511946,0.677440762158949,15.1165224241913,0.452159732396276,13.8775173620939,0.919815054494078,25834.6131248425,0.179878949750512,2.28613990481907,0.233898003284748,0.832645630838176,0.469936432926652,1.76320277755528,0.311228999795315,5.0004463292859,0.254076097028346,3.72368592991881,0.510895476433489,19.5788568818271,0.700212412764659,5.87401211146247,0.59061006097753,3.22804200453165,1.2158693784215,13.7177589511946,0.677440762158949,15.1165224241913,0.452159732396276,13.8775173620939,0.919815054494078,25834.6131248425
942,"pb_no_orb_mod",70,0.5,0.11,0.06,"large","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.06_large",0.101243870310638,2.58359436919902,0.240275812504536,0.327889219363182,0.482868857058722,0.661672210915153,0.327281533985543,6.9836460686582,0.254315143078039,1.808125209305,0.511378132835175,4.68522298506922,0.817776450766184,6.80792905441498,0.531057448247504,4.25906665116555,1.0872574993762,28.6676052119216,0.66979569737095,18.5961866087217,0.403253610197774,24.8414988780565,0.8174841002777,60139048.8732314,0.179922625632033,2.59889414883558,0.240797596784223,0.902919926359857,0.483927560975895,1.93105897707637,0.327374138882773,7.04473611626171,0.254315143078039,5.01158069265223,0.511378132835175,48.8846979704041,0.817776450766184,6.80792905441498,0.531057448247504,4.25906665116555,1.0872574993762,28.6676052119216,0.66979569737095,18.5961866087217,0.403253610197774,24.8414988780565,0.8174841002777,60139048.8732314
943,"pb_no_orb_mod",70,0.5,0.11,0.11,"small","pb_no_orb_mod_k_70_d0.50_su0.11_sv0.11_small",-0.0829518059636724,2.01047976493488,0.243454589565897,0.324175972814259,0.489348887049597,0.654086544896946,0.248041103124379,2.92536370263992,0.269836581721629,0.95075335682739,0.54298830812381,2.04814534308083,0.726616154156241,5.63120259936804,0.686399123471438,2.98281344936886,1.42742648959592,11.4842024816508,0.653727163887362,8.04569291187556,0.512034682967403,8.88671756318823,1.04665739925435,757.855050575378,0.230276188699134,2.0139220253258,0.247537702580289,0.6821046851986,0.497638995249127,1.41781190068853,0.256199173605032,2.93136467938721,0.269836581721629,2.01562012993498,0.54298830812381,5.54193120955393,1.35978089171149,5.63120259936804,0.686399123471438,2.98281344936886,1.42742648959592,11.4842024816508,0.653727163887362,8.04569291187556,0.512034682967403,8.88671756318823,1.04665739925435,757.855050575378
