"id","psss_nominal","avg_ss"
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.01_large","large",177.49823197176
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.06_small","small",44.9674511181576
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.06_medium","medium",111.103335252831
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.06_large","large",177.618307940591
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.11_small","small",44.9019146010586
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.11_medium","medium",110.996575135369
"pb_no_orb_str_k_15_d0.50_su0.11_sv0.11_large","large",177.720003413368
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.01_small","small",44.8003112583432
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.01_medium","medium",109.247427282842
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.01_large","large",174.515787137602
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.06_small","small",44.7498559021641
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.06_medium","medium",109.619913463415
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.06_large","large",175.12218405258
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.11_small","small",44.644087435934
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.11_medium","medium",109.718955557294
"pb_no_orb_str_k_15_d0.80_su0.01_sv0.11_large","large",175.514512987503
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.01_small","small",44.7056047451076
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.01_medium","medium",109.624248465501
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.01_large","large",175.086572556451
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.06_small","small",44.6547253106462
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.06_medium","medium",109.754002086988
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.06_large","large",175.451392215457
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.11_small","small",44.5850449685446
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.11_medium","medium",109.787447472005
"pb_no_orb_str_k_15_d0.80_su0.06_sv0.11_large","large",175.693446239027
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.01_small","small",44.6185537145713
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.01_medium","medium",109.859028187899
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.01_large","large",175.457087975766
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.06_small","small",44.5543450124996
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.06_medium","medium",109.794382067121
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.06_large","large",175.668201157933
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.11_small","small",44.5084735649294
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.11_medium","medium",109.842373289816
"pb_no_orb_str_k_15_d0.80_su0.11_sv0.11_large","large",175.748813893692
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.01_small","small",44.5217237085166
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.01_medium","medium",112.443290357476
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.01_large","large",181.991764183047
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.06_small","small",45.2224273985309
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.06_medium","medium",113.574727320697
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.06_large","large",181.946497550175
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.11_small","small",45.3857077423177
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.11_medium","medium",113.294832147218
"pb_no_orb_str_k_30_d0.00_su0.01_sv0.11_large","large",180.92478659459
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.01_small","small",45.2324786414806
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.01_medium","medium",113.604904614633
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.01_large","large",182.567901100278
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.06_small","small",45.3310522981347
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.06_medium","medium",113.300351714509
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.06_large","large",181.362470833009
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.11_small","small",45.293357082746
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.11_medium","medium",112.87989854933
"pb_no_orb_str_k_30_d0.00_su0.06_sv0.11_large","large",180.41741780669
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.01_small","small",45.3153634969985
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.01_medium","medium",113.309914601863
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.01_large","large",181.766907498712
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.06_small","small",45.3082928491199
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.06_medium","medium",112.973708873829
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.06_large","large",180.60941441875
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.11_small","small",45.2753116024869
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.11_medium","medium",112.566130180374
"pb_no_orb_str_k_30_d0.00_su0.11_sv0.11_large","large",179.834945931286
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.01_small","small",45.313619100257
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.01_medium","medium",114.291554443265
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.01_large","large",183.338017107852
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.06_small","small",45.353845718773
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.06_medium","medium",113.522480092612
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.06_large","large",181.470775299298
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.11_small","small",45.3702188762018
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.11_medium","medium",112.964336312815
"pb_no_orb_str_k_30_d0.20_su0.01_sv0.11_large","large",180.389549079856
