"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","k_cat","sigma2_u_cat","sigma2_v_cat","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study","pb_orb","mod_str","bt_read","avg_perc_out_excluded","rmse_corrected_smd","rmse_corrected_st_smd"
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.01_sv0.06","pb_no_orb_no",15,0,0.01,0.06,"small",0.0510510510510511,0.037037037037037,0.00112114434341445,0.111870024552468,0.0511022044088176,0.0420841683366733,-0.000201661943311656,0.0305732070145483,0.0331991951710262,0.03420523138833,-0.000368505689010903,0.110409494412298,0.034136546184739,0.035140562248996,-0.00152721932352458,0.0299447507932532,-0.0131285734519885,0.0965455225337503,-0.0142710868187285,0.0956241639478899,-0.179123552860694,0.367254587133911,-0.169381833513064,0.364303655796071,52,"small","small","medium",100,45,100,15,3,3,3,"pb","none","None",0,0.310717753811639,0.309231570102229
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.01_sv0.11","pb_no_orb_no",15,0,0.01,0.11,"small",0.054,0.034,0.0044690872689274,0.14167924092393,0.058,0.033,0.000799836955108759,0.0387082092485946,0.032064128256513,0.031062124248497,0.00352533870692283,0.134874408547029,0.033099297893681,0.0250752256770311,-0.00101536204723014,0.037678413601538,-0.0128760804873931,0.12046710457722,-0.0120458846708536,0.116397577802167,-0.113647381753097,0.411831193001652,-0.0550979880166866,0.335748123673847,54,"small","small","large",100,45,100,15,3,3,3,"pb","none","None",0,0.347083714076619,0.341170892372381
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.01_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.01","pb_no_orb_no",15,0,0.06,0.01,"small",0.078,0.06,-0.0117015519351887,0.185982182092384,0.08,0.056,-0.00578492920214381,0.0511695131958427,0.057,0.054,-0.0100209343719002,0.181884206377837,0.0550550550550551,0.0550550550550551,-0.00476291595632811,0.049454153516105,-0.0321376693693851,0.157092373043118,-0.0308554520910412,0.15276048159956,-0.245607041714731,0.557182928932735,-0.224097951096689,0.516053519587011,78,"small","medium","small",100,45,100,15,3,3,3,"pb","none","None",0,0.396348802247614,0.390845854013523
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.06","pb_no_orb_no",15,0,0.06,0.06,"small",0.078,0.06,-0.00707953924431966,0.214232812664085,0.077,0.059,-0.00398732715705249,0.0589630418913527,0.059,0.056,-0.00706636307222954,0.208148872970157,0.0540540540540541,0.0570570570570571,-0.00339857808528839,0.0565557207435211,-0.0291767027555235,0.181139588771528,-0.0289757002194966,0.174488198991501,-0.295264957850842,0.637671260853614,-0.264399380441731,0.569507714294921,78,"small","medium","medium",100,45,100,15,3,3,3,"pb","none","None",0,0.425604967982668,0.417717846149169
"pb_no_orb_no_k_15_d0.00_su0.06_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.06_sv0.11","pb_no_orb_no",15,0,0.06,0.11,"small",0.078,0.059,-0.00495252934363683,0.244702189099151,0.081,0.056,-0.00330282479795186,0.0673155138868654,0.0501504513540622,0.0501504513540622,-0.00608026792665271,0.23632848972185,0.047047047047047,0.0530530530530531,-0.00304262418212425,0.0639396489696542,-0.0303220610488457,0.204657252752211,-0.0295404357099083,0.197911425527922,-0.295257600989745,0.716801237537682,-0.235923955458111,0.652765890104452,78,"small","medium","large",100,45,100,15,3,3,3,"pb","none","None",0,0.452390597550624,0.444872369930885
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.01_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.01","pb_no_orb_no",15,0,0.11,0.01,"small",0.081,0.06,-0.0173858256619177,0.290134352471255,0.086,0.057,-0.00840685923053088,0.0795124579682115,0.057,0.055,-0.0140805158762258,0.280503273172116,0.0510510510510511,0.0540540540540541,-0.00568299511897982,0.0757298796064635,-0.0432127873658207,0.244693114808396,-0.0376092288736824,0.23795357751606,-0.301352354911185,0.850062897179485,-0.249900573654329,0.788381262075292,81,"small","large","small",100,45,100,15,3,3,3,"pb","none","None",0,0.494664648836357,0.487804855978351
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.06_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.06","pb_no_orb_no",15,0,0.11,0.06,"small",0.082,0.063,-0.0126277045265325,0.323702362438231,0.095,0.062,-0.00650271550359577,0.088739625747006,0.056,0.051,-0.011204134335642,0.306897410225095,0.054,0.058,-0.00518261482228166,0.082758052737687,-0.0404254578112256,0.270752636388039,-0.0366014612018789,0.258203777507936,-0.292261813877842,0.944320469803909,-0.231157843794608,0.816636295509869,82,"small","large","medium",100,45,100,15,3,3,3,"pb","none","None",0,0.520338962973213,0.508137557663214
"pb_no_orb_no_k_15_d0.00_su0.11_sv0.11_small","pb_no_orb_no_k_15_d0.00_su0.11_sv0.11","pb_no_orb_no",15,0,0.11,0.11,"small",0.087,0.058,-0.0107822593547467,0.358672939298065,0.096,0.061,-0.00592054866398545,0.098187017007785,0.0500500500500501,0.0520520520520521,-0.00908937190935077,0.334464351456407,0.051,0.052,-0.00482234779501531,0.0900175637929942,-0.0418386548987745,0.296747517143459,-0.0361769594867207,0.279699995581645,-0.31298388275447,1.01325011921571,-0.237194313069782,0.88966574966131,87,"small","large","large",100,45,100,15,3,3,3,"pb","none","None",0,0.544745369088585,0.528866708709903
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.01_medium","pb_no_orb_no_k_15_d0.00_su0.01_sv0.01","pb_no_orb_no",15,0,0.01,0.01,"medium",0.0682046138415246,0.0591775325977934,-0.00350104612670098,0.0453045695879497,0.0692771084337349,0.0632530120481928,-0.00225333293993902,0.0124949860756093,0.0540540540540541,0.0610610610610611,-0.00287309274789205,0.0452453836474298,0.045,0.065,-0.00200785456510626,0.0124473892260352,-0.0139258170895309,0.0381571110003942,-0.0139092324504413,0.0376335524046939,-0.104060607144438,0.131613366303501,-0.103949989731173,0.129275501151677,71,"small","small","small",100,45,100,15,3,3,3,"pb","none","None",0,0.195338452436775,0.19399369166211
"pb_no_orb_no_k_15_d0.00_su0.01_sv0.06_medium","pb_no_orb_no_k_15_d0.00_su0.01_sv0.06","pb_no_orb_no",15,0,0.01,0.06,"medium",0.054,0.045,-0.0104002248010896,0.0711633401798636,0.059,0.043,-0.00604695686297717,0.0198770364366044,0.042,0.043,-0.0095742360065726,0.0706703280670554,0.037,0.043,-0.00549297134446546,0.0197360635043417,-0.0230282338698685,0.0595830677247488,-0.0222108550309204,0.0590367590481902,-0.180831518473646,0.252571309308233,-0.179547725236153,0.244895577725539,54,"small","small","medium",100,45,100,15,3,3,3,"pb","none","None",0,0.244096431200353,0.242974811550889
