"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
33,"pb_no_orb_no",15,0.2,0.01,0.06,"large",0,0,0.1,0,0.7,0.7,0.4,0.6,0.7,0.7,0.3,0.4,0.7,0.6
34,"pb_no_orb_no",15,0.2,0.01,0.11,"small",0,0.3,0,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5
35,"pb_no_orb_no",15,0.2,0.01,0.11,"medium",0,0.2,0,0.1,0.6,0.5,0.9,0.9,0.6,0.6,0.9,1,0.6,0.4
36,"pb_no_orb_no",15,0.2,0.01,0.11,"large",0,0,0,0,0.7,0.7,0.4,0.5,0.6,0.7,0.6,0.6,0.5,0.7
37,"pb_no_orb_no",15,0.2,0.06,0.01,"small",0.3,0.1,0.1,0,0.7,0.7,0.6,0.8,0.9,0.8,0.6,0.8,0.7,0.4
38,"pb_no_orb_no",15,0.2,0.06,0.01,"medium",0.2,0,0.1,0,0.7,0.6,1,0.9,0.6,0.5,0.9,0.9,0.5,0.6
39,"pb_no_orb_no",15,0.2,0.06,0.01,"large",0,0,0.1,0,0.8,0.7,0.8,0.9,0.7,0.6,0.8,1.2,0.8,1.1
40,"pb_no_orb_no",15,0.2,0.06,0.06,"small",0,0.2,0,0.1,0.9,0.6,0.9,0.7,0.9,0.7,0.9,0.8,0.7,0.4
41,"pb_no_orb_no",15,0.2,0.06,0.06,"medium",0,0,0,0,0.8,0.6,0.9,0.9,0.8,0.8,0.7,1.1,0.6,0.5
42,"pb_no_orb_no",15,0.2,0.06,0.06,"large",0,0,0,0,0.6,0.6,0.7,0.6,0.6,0.7,1,1.1,0.8,1
43,"pb_no_orb_no",15,0.2,0.06,0.11,"small",0,0,0,0.1,1,0.6,0.9,0.9,0.8,0.7,0.9,0.8,0.7,0.4
44,"pb_no_orb_no",15,0.2,0.06,0.11,"medium",0,0,0,0,0.9,0.7,1,1,0.8,0.9,0.8,0.6,0.6,0.4
45,"pb_no_orb_no",15,0.2,0.06,0.11,"large",0,0,0,0,0.8,0.7,0.8,0.6,0.7,0.7,0.7,1,0.7,0.6
