"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","k_cat","sigma2_u_cat","sigma2_v_cat"
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11_medium","pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11","pb_str_orb_mod",15,0.2,0.06,0.11,"medium",0.0601805416248746,0.0581745235707121,-0.070363198699199,0.537781104751232,0.0631895687061184,0.102306920762287,0.0204089413924949,0.147733649121246,0.0530530530530531,0.0580580580580581,-0.00739499581251551,0.610068871733283,0.051,0.129,0.052521042295551,0.158553613942622,-0.103931333974797,0.461431271766689,-0.0481217342312465,0.50148510048473,NA,NA,NA,NA,63,"small","medium","large"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01_medium","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.01","pb_str_orb_mod",15,0.2,0.11,0.01,"medium",0.061122244488978,0.0490981963927856,-0.0723432282136398,0.445759329244421,0.0571715145436309,0.111334002006018,0.00603143524696176,0.123343970451296,0.0560560560560561,0.0630630630630631,-0.0125675787922172,0.484316837819467,0.05,0.124,0.0352784685695701,0.128720661396991,-0.101702595690622,0.390669639626098,-0.0519849133645141,0.405571486536834,-0.874884370660301,1.54882012063415,-0.890500898665131,1.65867146654514,63,"small","large","small"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_medium","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06","pb_str_orb_mod",15,0.2,0.11,0.06,"medium",0.0571142284569138,0.0561122244488978,-0.0595475719287323,0.58952896451718,0.0560560560560561,0.1001001001001,0.015798916551957,0.161167245619374,0.057,0.065,0.00825932191453507,0.670904092468177,0.054,0.113,0.0487360569340756,0.170203718830386,-0.102499098605112,0.485953226527357,-0.043868010316358,0.51452932027276,-0.781252890911948,1.76434036283275,-0.807653955790076,1.94924257241191,59,"small","large","medium"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_medium","pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11","pb_str_orb_mod",15,0.2,0.11,0.11,"medium",0.0651302605210421,0.0651302605210421,-0.0732420738545048,0.639055707035999,0.056,0.091,0.00785263494515706,0.171834266169835,0.061,0.074,0.00499001208930455,0.699511154562214,0.055,0.109,0.0470137544269322,0.180932204327973,-0.115514906692233,0.544670037377069,-0.0489835924040417,0.567780411297113,-0.834277058709473,1.81266483655089,-0.856619948386595,1.98304659343337,67,"small","large","large"
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.01_large","pb_str_orb_mod_k_15_d0.20_su0.01_sv0.01","pb_str_orb_mod",15,0.2,0.01,0.01,"large",0.0282542885973764,0.0645812310797175,-0.0428789052972421,0.0625427368376419,0.0261306532663317,0.365829145728643,0.0274068787664416,0.0164698265632424,0.03,0.07,-0.033740389273126,0.0616991248937878,0.024,0.383,0.0332297617765155,0.0167670278638332,-0.0558523540591942,0.053883072598397,-0.047081718315065,0.0523891181528542,-0.439304190712757,0.243749615998768,-0.440092204619296,0.245183454533002,37,"small","small","small"
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.06_large","pb_str_orb_mod_k_15_d0.20_su0.01_sv0.06","pb_str_orb_mod",15,0.2,0.01,0.06,"large",0.0672016048144433,0.0812437311935807,-0.0319276252183504,0.156688297442886,0.068,0.286,0.0435882722935058,0.0429478395833134,0.063,0.087,-0.0106287579368141,0.160713842727063,0.061,0.304,0.0551108335039875,0.0447115997963563,-0.0545060785761054,0.131401734593322,-0.0355410445661803,0.131796104701,-0.447751614291161,0.528297048872746,-0.447623957772103,0.536304699452841,70,"small","small","medium"
"pb_str_orb_mod_k_15_d0.20_su0.01_sv0.11_large","pb_str_orb_mod_k_15_d0.20_su0.01_sv0.11","pb_str_orb_mod",15,0.2,0.01,0.11,"large",0.0590590590590591,0.0750750750750751,-0.0328308834229236,0.234594633892153,0.0580580580580581,0.227227227227227,0.0456734438563626,0.0648405428186096,0.052,0.086,0.000646287525371214,0.241785597824896,0.054,0.237,0.0633322667243422,0.067405147935105,-0.0625656740419882,0.191050123116067,-0.0348134224843434,0.187950744559178,-0.430781503231903,0.76816172962339,-0.434681482558683,0.804965814909668,60,"small","small","large"
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.01_large","pb_str_orb_mod_k_15_d0.20_su0.06_sv0.01","pb_str_orb_mod",15,0.2,0.06,0.01,"large",0.0650650650650651,0.0730730730730731,-0.0597011175392122,0.24154866221598,0.052,0.188,0.0127629504855636,0.0646207745367996,0.062,0.08,-0.0313694482383251,0.248907012402984,0.056,0.202,0.0267970051021053,0.065806253286766,-0.0879661190493153,0.202274501569236,-0.0657387940807396,0.200292631134674,-0.483082899036842,0.770831693586814,-0.494212833199695,0.846140881960926,66,"small","medium","small"
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.06_large","pb_str_orb_mod_k_15_d0.20_su0.06_sv0.06","pb_str_orb_mod",15,0.2,0.06,0.06,"large",0.0670670670670671,0.0600600600600601,-0.0658304759997898,0.345979964716003,0.066,0.147,0.0143909521800105,0.0940879559675909,0.062,0.069,-0.0265765475978997,0.355191731802701,0.059,0.156,0.0336017871515378,0.0953505785527523,-0.0967514057636256,0.295394821253821,-0.0639306897410107,0.293135710773304,-0.624372639153178,1.00937115107519,-0.629753549210296,1.04163945806472,68,"small","medium","medium"
"pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11_large","pb_str_orb_mod_k_15_d0.20_su0.06_sv0.11","pb_str_orb_mod",15,0.2,0.06,0.11,"large",0.067,0.062,-0.0805309610352981,0.402945648666841,0.066,0.125,0.0085551768677008,0.108370484860349,0.0600600600600601,0.0680680680680681,-0.0266734015060446,0.42639775604623,0.061,0.135,0.0353741294732418,0.112827491923726,-0.110246921303629,0.349023090874918,-0.068306244776953,0.34279830834888,-0.726935959099699,1.22670494984943,-0.734999021353126,1.27906024135146,67,"small","medium","large"
