"id","id_rollup_psss","bt","k","delta_00","sigma2_u","sigma2_v","psss","rej_pet_slope","rej_pet_int","bias_pet_int","mse_pet_int","rej_peese_slope","rej_peese_int","bias_peese_int","mse_peese_int","rej_pet_st_slope","rej_pet_st_int","bias_pet_st_int","mse_pet_st_int","rej_peese_st_slope","rej_peese_st_int","bias_peese_st_int","mse_peese_st_int","bias_corrected_smd","mse_corrected_smd","bias_corrected_st_smd","mse_corrected_st_smd","bias_corrected_smd_subset","mse_corrected_smd_subset","bias_corrected_st_smd_subset","mse_corrected_st_smd_subset","subset_size","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study","k_cat","sigma2_u_cat","sigma2_v_cat"
"orb_4_k_30_d0.20_su0.11_sv0.11_small","orb_4_k_30_d0.20_su0.11_sv0.11","orb_4",30,0.2,0.11,0.11,"small",0.113,0.05,-0.25053324382849,0.387123439717184,0.126,0.078,-0.0930549827418923,0.0996796460582139,0.049,0.076,0.0683886736732228,0.317160225185568,0.05,0.154,0.0709723015301409,0.090119179648113,-0.271716852290751,0.353128320997052,0.0181374652361547,0.227609910212069,-0.961089901138225,1.27048756230956,-0.623660211723633,0.677499221459991,113,56.6977777777778,51.028,90.5733333333333,27.172,1.87756877631752,1,2.999,"medium","large","large"
"orb_4_k_30_d0.20_su0.01_sv0.01_medium","orb_4_k_30_d0.20_su0.01_sv0.01","orb_4",30,0.2,0.01,0.01,"medium",0.062124248496994,0.211422845691383,0.0166484340179454,0.0413345252263667,0.0691382765531062,0.623246492985972,0.039552067967796,0.0129015752373964,0.052,0.272,0.0610972800413311,0.0440597816921958,0.062,0.71,0.0642272089921287,0.0151513623636377,-0.00847263084757227,0.0284808827686149,0.0286856453823923,0.0261633964995723,-0.18232325841494,0.139316723231348,-0.148145328637345,0.120555186770102,64,53.1322222222222,47.819,88.5766666666667,26.573,1.79948307799064,1,2.996,"medium","small","small"
"orb_4_k_30_d0.20_su0.01_sv0.06_medium","orb_4_k_30_d0.20_su0.01_sv0.06","orb_4",30,0.2,0.01,0.06,"medium",0.063,0.129,-0.0123887198184332,0.069198012344506,0.075,0.388,0.0318853375511887,0.0202730882703031,0.046,0.18,0.0637318284911713,0.0717987005281217,0.053,0.51,0.0715597703069529,0.0238802828606718,-0.03709742788562,0.0522434679811088,0.026928179434707,0.0448286362897058,-0.279679499919094,0.242923807723535,-0.218997252006303,0.193531262276508,63,58.3922222222222,52.553,92.2533333333333,27.676,1.89890990669806,1,3,"medium","small","medium"
"orb_4_k_30_d0.20_su0.01_sv0.11_medium","orb_4_k_30_d0.20_su0.01_sv0.11","orb_4",30,0.2,0.01,0.11,"medium",0.075,0.08,-0.0658427320211481,0.096289737820277,0.087,0.245,0.00535626106743864,0.0256124925517912,0.0451807228915663,0.1214859437751,0.0356584241354616,0.0918132331462936,0.0531062124248497,0.355711422845691,0.0568901537881645,0.0284650474498294,-0.0853247493848057,0.0810872938186621,0.00231016683254548,0.0639685622068084,-0.514344993899715,0.413147565142131,-0.411610601835257,0.301250537308045,75,62.18,55.962,94.0866666666667,28.226,1.98257788810723,1,2.999,"medium","small","large"
"orb_4_k_30_d0.20_su0.06_sv0.01_medium","orb_4_k_30_d0.20_su0.06_sv0.01","orb_4",30,0.2,0.06,0.01,"medium",0.094,0.078,-0.0963874128811972,0.111190443075248,0.104,0.216,-0.0208772345013115,0.0281801806240365,0.063,0.129,0.0157247248781236,0.100568411137352,0.069,0.318,0.0359114747218473,0.0281788943205526,-0.114719362376071,0.0977834607788721,-0.0188106600382035,0.0729543382836945,-0.560404783447796,0.434556943225274,-0.458719965874079,0.315467343935302,94,58.3011111111111,52.471,90.28,27.084,1.93735620704328,1,2.999,"medium","medium","small"
"orb_4_k_30_d0.20_su0.06_sv0.06_medium","orb_4_k_30_d0.20_su0.06_sv0.06","orb_4",30,0.2,0.06,0.06,"medium",0.118,0.079,-0.116803263325844,0.149196203197598,0.126,0.173,-0.0263684605937181,0.037634509941028,0.063,0.113,0.0231505040716102,0.131387389199614,0.066,0.274,0.0437322178819621,0.0372167950884592,-0.137638974859731,0.129681269581608,-0.0145497455133023,0.0935923201268189,-0.557600434752866,0.525681244173145,-0.422600920572578,0.356708762056131,118,62.1422222222222,55.928,93.08,27.924,2.00295528207591,1,3,"medium","medium","medium"
"orb_4_k_30_d0.20_su0.06_sv0.11_medium","orb_4_k_30_d0.20_su0.06_sv0.11","orb_4",30,0.2,0.06,0.11,"medium",0.123,0.08,-0.149776828058289,0.185678889465237,0.134,0.14,-0.0432897055618839,0.0458832827703013,0.0700700700700701,0.106106106106106,0.0122675091787341,0.159425935939587,0.0740740740740741,0.222222222222222,0.0374062689238507,0.0439242008543566,-0.171938731204783,0.163897093825874,-0.0282816674311141,0.114894178296886,-0.677906888617708,0.652725498743807,-0.520197115196027,0.429422918592614,123,65.1888888888889,58.67,94.92,28.476,2.06037054136851,1,3,"medium","medium","large"
"orb_4_k_30_d0.20_su0.11_sv0.01_medium","orb_4_k_30_d0.20_su0.11_sv0.01","orb_4",30,0.2,0.11,0.01,"medium",0.126,0.076,-0.174600723284646,0.189202798670883,0.129,0.126,-0.0655327528594661,0.0475067978764695,0.067,0.092,0.00116315081547894,0.155788791956839,0.068,0.197,0.0213275056469463,0.0423761437472105,-0.192118749878773,0.171904575162564,-0.0360440528003858,0.11555871586967,-0.703516096657181,0.681980378579414,-0.523658945702717,0.424386556638049,126,62.09,55.881,91.3166666666667,27.395,2.03999296755774,1,3,"medium","large","small"
"orb_4_k_30_d0.20_su0.11_sv0.06_medium","orb_4_k_30_d0.20_su0.11_sv0.06","orb_4",30,0.2,0.11,0.06,"medium",0.14,0.066,-0.201138860138794,0.22865436721167,0.145,0.111,-0.0768229336584252,0.0564376300271194,0.065,0.092,0.00328462560197709,0.182797488243675,0.064,0.185,0.0243304469361434,0.048832700413024,-0.219867243176772,0.208909544710153,-0.0379224626289919,0.134162356256742,-0.73132850736588,0.732705712141191,-0.514944965228292,0.435076998250408,140,65.1988888888889,58.679,94.0666666666667,28.22,2.07904453863311,1,3,"medium","large","medium"
"orb_4_k_30_d0.20_su0.11_sv0.11_medium","orb_4_k_30_d0.20_su0.11_sv0.11","orb_4",30,0.2,0.11,0.11,"medium",0.147,0.072,-0.219857445188706,0.267215282506185,0.149,0.105,-0.0837065137241823,0.065886504005692,0.071,0.086,0.00299238961030096,0.210071015052694,0.071,0.168,0.0259426825850193,0.0565839070206467,-0.239890306433909,0.242700834408935,-0.0391715177072225,0.153841990942476,-0.780980832769565,0.85135208813815,-0.529158073897644,0.477471853328172,147,67.5011111111111,60.751,95.44,28.632,2.1215952905507,1,3,"medium","large","large"
"orb_4_k_30_d0.20_su0.01_sv0.01_large","orb_4_k_30_d0.20_su0.01_sv0.01","orb_4",30,0.2,0.01,0.01,"large",0.072,0.25,0.00194448367978844,0.0247202967025754,0.0790790790790791,0.766766766766767,0.0332514329094678,0.00775366004706769,0.047,0.329,0.0345350678348265,0.0255538053739836,0.054,0.806,0.0508556291539301,0.00910345924446541,-0.0129673800322887,0.0183980328061041,0.0143738023682646,0.0165377271104687,-0.190447442838042,0.0798131506993869,-0.162518664379547,0.0658339126507808,72,58.5011111111111,52.651,91.4333333333333,27.43,1.91901823582742,1,3,"medium","small","small"
"orb_4_k_30_d0.20_su0.01_sv0.06_large","orb_4_k_30_d0.20_su0.01_sv0.06","orb_4",30,0.2,0.01,0.06,"large",0.086,0.121,-0.0333326739384623,0.0504084839285526,0.098,0.474,0.021842745749142,0.0141968069944229,0.061,0.181,0.0278175264366236,0.0497845147334646,0.058,0.574,0.0530985174957571,0.0163954114067882,-0.0499376301656738,0.0412972036999273,0.00159175384658269,0.0345258370596628,-0.337420809467767,0.182545418039463,-0.283748534907753,0.14012517201019,86,64.04,57.636,94.57,28.371,2.03152353994248,1,2.999,"medium","small","medium"
