"id","avg_perc_out_selected","avg_num_out_selected","avg_perc_stud_selected","avg_num_study_selected","avg_avg_n_out_per_study","avg_min_n_out_per_study","avg_max_n_out_per_study"
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.06_large",77.3466666666667,11.602,77.3466666666667,11.602,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_small",62.9066666666667,9.436,62.9066666666667,9.436,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_medium",73.56,11.034,73.56,11.034,1,1,1
"pb_str_orb_mod_k_15_d0.20_su0.11_sv0.11_large",77.1,11.565,77.1,11.565,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_small",80.0666666666667,12.01,80.0666666666667,12.01,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_medium",93.92,14.088,93.92,14.088,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.01_large",97.6733333333333,14.651,97.6733333333333,14.651,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_small",79.2266666666667,11.884,79.2266666666667,11.884,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_medium",91.7266666666667,13.759,91.7266666666667,13.759,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.06_large",95.3266666666667,14.299,95.3266666666667,14.299,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_small",78.0133333333333,11.702,78.0133333333333,11.702,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_medium",89.6866666666667,13.453,89.6866666666667,13.453,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.01_sv0.11_large",92.9733333333333,13.946,92.9733333333333,13.946,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01_small",76.9866666666667,11.548,76.9866666666667,11.548,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01_medium",87.9,13.185,87.9,13.185,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.01_large",91.7266666666667,13.759,91.7266666666667,13.759,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06_small",76.5333333333333,11.48,76.5333333333333,11.48,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06_medium",87.14,13.071,87.14,13.071,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.06_large",90.44,13.566,90.44,13.566,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11_small",76.2133333333333,11.432,76.2133333333333,11.432,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11_medium",86.1533333333333,12.923,86.1533333333333,12.923,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.06_sv0.11_large",89.8266666666667,13.474,89.8266666666667,13.474,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01_small",75.4933333333333,11.324,75.4933333333333,11.324,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01_medium",85.1866666666667,12.778,85.1866666666667,12.778,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.01_large",89.8133333333333,13.472,89.8133333333333,13.472,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06_small",75.8533333333333,11.378,75.8533333333333,11.378,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06_medium",85.1066666666667,12.766,85.1066666666667,12.766,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.06_large",89.0466666666667,13.357,89.0466666666667,13.357,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.11_small",75.5133333333333,11.327,75.5133333333333,11.327,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.11_medium",84.4,12.66,84.4,12.66,1,1,1
"pb_str_orb_mod_k_15_d0.50_su0.11_sv0.11_large",88.3066666666667,13.246,88.3066666666667,13.246,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.01_small",94.82,14.223,94.82,14.223,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.01_medium",99.54,14.931,99.54,14.931,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.01_large",99.9,14.985,99.9,14.985,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.06_small",94.4533333333333,14.168,94.4533333333333,14.168,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.06_medium",99.1866666666667,14.878,99.1866666666667,14.878,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.06_large",99.6466666666667,14.947,99.6466666666667,14.947,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.11_small",93.46,14.019,93.46,14.019,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.11_medium",98.5333333333333,14.78,98.5333333333333,14.78,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.01_sv0.11_large",99.3533333333333,14.903,99.3533333333333,14.903,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.01_small",92.0533333333333,13.808,92.0533333333333,13.808,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.01_medium",97.9133333333333,14.687,97.9133333333333,14.687,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.01_large",98.88,14.832,98.88,14.832,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.06_small",91.56,13.734,91.56,13.734,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.06_medium",97.32,14.598,97.32,14.598,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.06_large",98.3133333333333,14.747,98.3133333333333,14.747,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.11_small",91.02,13.653,91.02,13.653,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.11_medium",96.58,14.487,96.58,14.487,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.06_sv0.11_large",97.72,14.658,97.72,14.658,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.01_small",89.84,13.476,89.84,13.476,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.01_medium",95.68,14.352,95.68,14.352,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.01_large",97.0933333333333,14.564,97.0933333333333,14.564,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.06_small",89.4066666666667,13.411,89.4066666666667,13.411,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.06_medium",95.44,14.316,95.44,14.316,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.06_large",96.7933333333333,14.519,96.7933333333333,14.519,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.11_small",88.58,13.287,88.58,13.287,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.11_medium",94.5933333333333,14.189,94.5933333333333,14.189,1,1,1
"pb_str_orb_mod_k_15_d0.80_su0.11_sv0.11_large",95.9933333333333,14.399,95.9933333333333,14.399,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.01_small",38.44,11.532,38.44,11.532,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.01_medium",45.1966666666667,13.559,45.1966666666667,13.559,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.01_large",49.6766666666667,14.903,49.6766666666667,14.903,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.06_small",44.1533333333333,13.246,44.1533333333333,13.246,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.06_medium",52.0833333333333,15.625,52.0833333333333,15.625,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.06_large",57.21,17.163,57.21,17.163,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.11_small",47.0933333333333,14.128,47.0933333333333,14.128,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.11_medium",56.41,16.923,56.41,16.923,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.01_sv0.11_large",61.4433333333333,18.433,61.4433333333333,18.433,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.01_small",49.6166666666667,14.885,49.6166666666667,14.885,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.01_medium",61.2666666666667,18.38,61.2666666666667,18.38,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.01_large",67.06,20.118,67.06,20.118,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.06_small",52.3833333333333,15.715,52.3833333333333,15.715,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.06_medium",63.6433333333333,19.093,63.6433333333333,19.093,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.06_large",68.7833333333333,20.635,68.7833333333333,20.635,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.11_small",54.67,16.401,54.67,16.401,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.11_medium",65.0766666666667,19.523,65.0766666666667,19.523,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.06_sv0.11_large",70.2866666666667,21.086,70.2866666666667,21.086,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.01_small",56.2166666666667,16.865,56.2166666666667,16.865,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.01_medium",68.2533333333333,20.476,68.2533333333333,20.476,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.01_large",73.6466666666667,22.094,73.6466666666667,22.094,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.06_small",57.8333333333333,17.35,57.8333333333333,17.35,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.06_medium",69.36,20.808,69.36,20.808,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.06_large",74.6633333333333,22.399,74.6633333333333,22.399,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.11_small",59.77,17.931,59.77,17.931,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.11_medium",70.2866666666667,21.086,70.2866666666667,21.086,1,1,1
"pb_str_orb_mod_k_30_d0.00_su0.11_sv0.11_large",75.0833333333333,22.525,75.0833333333333,22.525,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.01_small",49.82,14.946,49.82,14.946,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.01_medium",63.3233333333333,18.997,63.3233333333333,18.997,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.01_large",71.0666666666667,21.32,71.0666666666667,21.32,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.06_small",52.4166666666667,15.725,52.4166666666667,15.725,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.06_medium",64.4233333333333,19.327,64.4233333333333,19.327,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.06_large",70.53,21.159,70.53,21.159,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.11_small",54.22,16.266,54.22,16.266,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.11_medium",65.48,19.644,65.48,19.644,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.01_sv0.11_large",70.9966666666667,21.299,70.9966666666667,21.299,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.01_small",56.0133333333333,16.804,56.0133333333333,16.804,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.01_medium",67.9566666666667,20.387,67.9566666666667,20.387,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.01_large",73.86,22.158,73.86,22.158,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.06_small",57.78,17.334,57.78,17.334,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.06_medium",69.4,20.82,69.4,20.82,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.06_large",74.52,22.356,74.52,22.356,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.11_small",59.2266666666667,17.768,59.2266666666667,17.768,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.11_medium",70.11,21.033,70.11,21.033,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.06_sv0.11_large",74.9466666666667,22.484,74.9466666666667,22.484,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.01_small",60.11,18.033,60.11,18.033,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.01_medium",71.5833333333333,21.475,71.5833333333333,21.475,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.01_large",77.0566666666667,23.117,77.0566666666667,23.117,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.06_small",61.82,18.546,61.82,18.546,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.06_medium",73.0233333333333,21.907,73.0233333333333,21.907,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.06_large",77.7433333333333,23.323,77.7433333333333,23.323,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.11_small",63.39,19.017,63.39,19.017,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.11_medium",73.7833333333333,22.135,73.7833333333333,22.135,1,1,1
"pb_str_orb_mod_k_30_d0.20_su0.11_sv0.11_large",77.6866666666667,23.306,77.6866666666667,23.306,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.01_small",80.51,24.153,80.51,24.153,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.01_medium",93.7066666666667,28.112,93.7066666666667,28.112,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.01_large",97.2866666666667,29.186,97.2866666666667,29.186,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.06_small",79.3566666666667,23.807,79.3566666666667,23.807,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.06_medium",92.0066666666667,27.602,92.0066666666667,27.602,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.06_large",95.32,28.596,95.32,28.596,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.11_small",78.0566666666667,23.417,78.0566666666667,23.417,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.11_medium",89.99,26.997,89.99,26.997,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.01_sv0.11_large",93.2666666666667,27.98,93.2666666666667,27.98,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.01_small",76.6366666666667,22.991,76.6366666666667,22.991,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.01_medium",88.1033333333333,26.431,88.1033333333333,26.431,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.01_large",91.85,27.555,91.85,27.555,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.06_small",76.3866666666667,22.916,76.3866666666667,22.916,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.06_medium",87.1333333333333,26.14,87.1333333333333,26.14,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.06_large",90.7366666666667,27.221,90.7366666666667,27.221,1,1,1
"pb_str_orb_mod_k_30_d0.50_su0.06_sv0.11_small",76.3733333333333,22.912,76.3733333333333,22.912,1,1,1
